bill,name,vote
S1M-406.1,"Canavan, Dennis",1
S1M-408.2,"Canavan, Dennis",1
S1M-408,"Canavan, Dennis",1
S1M-430.1,"Canavan, Dennis",-1
S1M-430,"Canavan, Dennis",1
S1M-437.2,"Canavan, Dennis",1
S1M-437.1,"Canavan, Dennis",-1
S1M-437,"Canavan, Dennis",1
S1M-455,"Canavan, Dennis",0
S1M-461.1,"Canavan, Dennis",1
S1M-461.4,"Canavan, Dennis",0
S1M-461,"Canavan, Dennis",-1
S1M-482.1,"Canavan, Dennis",-1
S1M-482,"Canavan, Dennis",-1
S1M-483.1,"Canavan, Dennis",-1
S1M-483.2,"Canavan, Dennis",1
S1M-483,"Canavan, Dennis",1
S1M-486.1,"Canavan, Dennis",1
S1M-486.2,"Canavan, Dennis",-1
S1M-508.2,"Canavan, Dennis",1
S1M-508.1,"Canavan, Dennis",1
S1M-510.1,"Canavan, Dennis",1
S1M-510,"Canavan, Dennis",1
S1M-509.1,"Canavan, Dennis",1
S1M-509.2,"Canavan, Dennis",1
S1M-509,"Canavan, Dennis",1
S1M-498,"Canavan, Dennis",1
S1M-554ÑIrene,"Canavan, Dennis",1
S1M-459.1,"Canavan, Dennis",1
S1M-550.2,"Canavan, Dennis",1
S1M-550.1,"Canavan, Dennis",-1
S1M-550,"Canavan, Dennis",1
S1M-569.1,"Canavan, Dennis",1
S1M-569.2,"Canavan, Dennis",0
S1M-586.1,"Canavan, Dennis",-1
S1M-517.1,"Canavan, Dennis",1
S1M-559,"Canavan, Dennis",-1
S1M-610.1,"Canavan, Dennis",0
S1M-610,"Canavan, Dennis",-1
S1M-607.2,"Canavan, Dennis",-1
S1M-639.1,"Canavan, Dennis",-1
S1M-639,"Canavan, Dennis",-1
S1M-638.1,"Canavan, Dennis",-1
S1M-638,"Canavan, Dennis",1
S1M-642.1,"Canavan, Dennis",1
S1M-532,"Canavan, Dennis",1
S1M-676.1,"Canavan, Dennis",-1
S1M-676,"Canavan, Dennis",-1
S1M-675.2,"Canavan, Dennis",1
S1M-675.1,"Canavan, Dennis",0
S1M-675.4,"Canavan, Dennis",1
S1M-675,"Canavan, Dennis",-1
S1M-700.2,"Canavan, Dennis",-1
S1M-700,"Canavan, Dennis",0
S1M-707.1,"Canavan, Dennis",-1
S1M-707,"Canavan, Dennis",0
S1M-720.1,"Canavan, Dennis",1
S1M-720.2,"Canavan, Dennis",-1
S1M-720,"Canavan, Dennis",-1
S1M-736.1,"Canavan, Dennis",-1
S1M-736,"Canavan, Dennis",-1
S1M-738.1,"Canavan, Dennis",-1
S1M-738,"Canavan, Dennis",-1
S1M-733.1,"Canavan, Dennis",1
S1M-733,"Canavan, Dennis",-1
S1M-778,"Canavan, Dennis",0
S1M-637,"Canavan, Dennis",1
S1M-772,"Canavan, Dennis",1
S1M-792.2,"Canavan, Dennis",0
S1M-792,"Canavan, Dennis",-1
S1M-790.2,"Canavan, Dennis",0
S1M-790,"Canavan, Dennis",-1
S1M-793.1,"Canavan, Dennis",-1
S1M-793.2,"Canavan, Dennis",-1
S1M-793,"Canavan, Dennis",1
S1M-818.2,"Canavan, Dennis",0
S1M-818,"Canavan, Dennis",0
S1M-823.1,"Canavan, Dennis",1
S1M-823.2,"Canavan, Dennis",-1
S1M-858.1,"Canavan, Dennis",1
S1M-858.2,"Canavan, Dennis",-1
S1M-858,"Canavan, Dennis",1
S1M-868.1,"Canavan, Dennis",1
S1M-868.2,"Canavan, Dennis",-1
S1M-868,"Canavan, Dennis",0
S1M-890.1.1,"Canavan, Dennis",0
S1M-890.1,"Canavan, Dennis",-1
S1M-890,"Canavan, Dennis",-1
S1M-888.1,"Canavan, Dennis",0
S1M-887.1,"Canavan, Dennis",0
S1M-896.2,"Canavan, Dennis",0
S1M-896.1,"Canavan, Dennis",0
S1M-896,"Canavan, Dennis",0
S1M-921.1,"Canavan, Dennis",0
S1M-921.2,"Canavan, Dennis",0
S1M-877,"Canavan, Dennis",1
S1M-966.1,"Canavan, Dennis",1
S1M-905.1,"Canavan, Dennis",-1
S1M-905,"Canavan, Dennis",-1
S1M-1008.1,"Canavan, Dennis",-1
S1M-1008,"Canavan, Dennis",-1
S1M-1007.1,"Canavan, Dennis",1
S1M-1007.2,"Canavan, Dennis",-1
S1M-1036,"Canavan, Dennis",-1
S1M-786,"Canavan, Dennis",1
S1M-1027.1,"Canavan, Dennis",-1
S1M-1027,"Canavan, Dennis",-1
S1M-1026.2,"Canavan, Dennis",-1
S1M-1026,"Canavan, Dennis",-1
S1M-1065,"Canavan, Dennis",0
S1M-1051.2,"Canavan, Dennis",1
S1M-1051.1,"Canavan, Dennis",1
S1M-1092,"Canavan, Dennis",-1
S1M-1091.1,"Canavan, Dennis",1
S1M-1091.2,"Canavan, Dennis",0
S1M-1091,"Canavan, Dennis",-1
S1M-1072,"Canavan, Dennis",-1
S1M-1147.2,"Canavan, Dennis",1
S1M-1147.1,"Canavan, Dennis",1
S1M-1147,"Canavan, Dennis",-1
S1M-985.1,"Canavan, Dennis",0
S1M-985,"Canavan, Dennis",0
S1M-1077,"Canavan, Dennis",0
S1M-1196.1,"Canavan, Dennis",-1
S1M-1185,"Canavan, Dennis",1
S1M-1213.2,"Canavan, Dennis",-1
S1M-1213,"Canavan, Dennis",1
S1M-1216.2,"Canavan, Dennis",0
S1M-1216,"Canavan, Dennis",-1
S1M-1215.1,"Canavan, Dennis",-1
S1M-1215,"Canavan, Dennis",-1
S1M-1217,"Canavan, Dennis",1
S1M-1238.2,"Canavan, Dennis",-1
S1M-1238.1,"Canavan, Dennis",-1
S1M-1238,"Canavan, Dennis",1
S1M-1239.2,"Canavan, Dennis",-1
S1M-1239,"Canavan, Dennis",-1
S1M-1277.1,"Canavan, Dennis",1
S1M-1277,"Canavan, Dennis",-1
S1M-1275.1,"Canavan, Dennis",1
S1M-1275,"Canavan, Dennis",-1
S1M-1271.1,"Canavan, Dennis",1
S1M-1271.2,"Canavan, Dennis",-1
S1M-1297.1,"Canavan, Dennis",0
S1M-1299.2,"Canavan, Dennis",0
S1M-1299.1,"Canavan, Dennis",0
S1M-1299,"Canavan, Dennis",0
S1M-1303.2,"Canavan, Dennis",0
S1M-1303,"Canavan, Dennis",0
S1M-1301.1,"Canavan, Dennis",0
S1M-1301,"Canavan, Dennis",0
S1M-1305.1,"Canavan, Dennis",0
S1M-1305.2,"Canavan, Dennis",0
S1M-1305,"Canavan, Dennis",0
S1M-1320.2,"Canavan, Dennis",1
S1M-1320.1,"Canavan, Dennis",-1
S1M-1320,"Canavan, Dennis",1
S1M-1324.2,"Canavan, Dennis",1
S1M-1325.2,"Canavan, Dennis",-1
S1M-1345.3,"Canavan, Dennis",-1
S1M-1345.1,"Canavan, Dennis",-1
S1M-1345,"Canavan, Dennis",1
S1M-1356.1,"Canavan, Dennis",0
S1M-1356.2,"Canavan, Dennis",0
S1M-1356,"Canavan, Dennis",0
S1M-1355.3,"Canavan, Dennis",0
S1M-1355,"Canavan, Dennis",0
S1M-1357.1,"Canavan, Dennis",0
S1M-1357,"Canavan, Dennis",0
S1M-1354,"Canavan, Dennis",0
S1M-1373.1,"Canavan, Dennis",1
S1M-1373.2,"Canavan, Dennis",-1
S1M-1373,"Canavan, Dennis",-1
S1M-1400.1,"Canavan, Dennis",1
S1M-1404.2,"Canavan, Dennis",-1
S1M-1404.1,"Canavan, Dennis",1
S1M-1404,"Canavan, Dennis",-1
S1M-1406.2,"Canavan, Dennis",-1
S1M-1406,"Canavan, Dennis",-1
S1M-1405.2,"Canavan, Dennis",1
S1M-1428,"Canavan, Dennis",0
S1M-1433.1,"Canavan, Dennis",-1
S1M-1434.1,"Canavan, Dennis",1
S1M-1457.1,"Canavan, Dennis",0
S1M-1457,"Canavan, Dennis",0
S1M-1448,"Canavan, Dennis",1
S1M-1461.2,"Canavan, Dennis",-1
S1M-1461,"Canavan, Dennis",-1
S1M-1453.1,"Canavan, Dennis",-1
S1M-1453.2,"Canavan, Dennis",1
S1M-1453,"Canavan, Dennis",-1
S1M-1462,"Canavan, Dennis",-1
S1M-1458,"Canavan, Dennis",-1
S1M-1425.1,"Canavan, Dennis",-1
S1M-1502.1,"Canavan, Dennis",1
S1M-1502,"Canavan, Dennis",1
S1M-1515.2,"Canavan, Dennis",-1
S1M-1555.1,"Canavan, Dennis",0
S1M-1555,"Canavan, Dennis",0
S1M-1550,"Canavan, Dennis",-1
S1M-1548.2,"Canavan, Dennis",-1
S1M-1548,"Canavan, Dennis",1
S1M-1547.1,"Canavan, Dennis",1
S1M-1547,"Canavan, Dennis",1
S1M-1528,"Canavan, Dennis",-1
S1M-1556.1,"Canavan, Dennis",1
S1M-1556.2,"Canavan, Dennis",-1
S1M-1584.1.1,"Canavan, Dennis",-1
S1M-1584.1,"Canavan, Dennis",-1
S1M-1584,"Canavan, Dennis",1
S1M-1589.2,"Canavan, Dennis",-1
S1M-1589,"Canavan, Dennis",0
S1M-1574,"Canavan, Dennis",1
S1M-1525,"Canavan, Dennis",0
S1M-1596.1,"Canavan, Dennis",-1
S1M-1596,"Canavan, Dennis",0
S1M-1609.1.1,"Canavan, Dennis",-1
S1M-1609.1,"Canavan, Dennis",1
S1M-1609,"Canavan, Dennis",-1
S1M-1610.1,"Canavan, Dennis",1
S1M-1610.2,"Canavan, Dennis",-1
S1M-1610,"Canavan, Dennis",1
S1M-1598,"Canavan, Dennis",1
S1M-1618,"Canavan, Dennis",0
S1M-1634.1,"Canavan, Dennis",-1
S1M-1634,"Canavan, Dennis",-1
S1M-1624.1,"Canavan, Dennis",1
S1M-1624,"Canavan, Dennis",1
S1M-1626.2,"Canavan, Dennis",-1
S1M-1626,"Canavan, Dennis",-1
S1M-1627.2,"Canavan, Dennis",-1
S1M-1627,"Canavan, Dennis",-1
S1M-1639.1,"Canavan, Dennis",-1
S1M-1639,"Canavan, Dennis",1
S1M-1664,"Canavan, Dennis",0
S1M-1621.1,"Canavan, Dennis",-1
S1M-1621,"Canavan, Dennis",1
S1M-1656.1,"Canavan, Dennis",-1
S1M-1656.2,"Canavan, Dennis",-1
S1M-1656,"Canavan, Dennis",0
S1M-1666,"Canavan, Dennis",1
S1M-1694.2,"Canavan, Dennis",0
S1M-1694.3,"Canavan, Dennis",0
S1M-1694.1,"Canavan, Dennis",0
S1M-1694,"Canavan, Dennis",0
S1M-1699.1,"Canavan, Dennis",1
S1M-1699.2,"Canavan, Dennis",1
S1M-1699,"Canavan, Dennis",0
S1M-1700.2,"Canavan, Dennis",1
S1M-1700.3,"Canavan, Dennis",-1
S1M-1700,"Canavan, Dennis",1
S1M-1523.1,"Canavan, Dennis",-1
S1M-1725.2,"Canavan, Dennis",-1
S1M-1725.1,"Canavan, Dennis",1
S1M-1725,"Canavan, Dennis",1
S1M-1726,"Canavan, Dennis",1
S1M-1758.1,"Canavan, Dennis",1
S1M-1758,"Canavan, Dennis",-1
S1M-1746,"Canavan, Dennis",-1
S1M-1750.1,"Canavan, Dennis",1
S1M-1750.2,"Canavan, Dennis",1
S1M-1760.3,"Canavan, Dennis",1
S1M-1760,"Canavan, Dennis",-1
S1M-1526,"Canavan, Dennis",1
S1M-1775,"Canavan, Dennis",-1
S1M-1771.2,"Canavan, Dennis",1
S1M-1771.1,"Canavan, Dennis",-1
S1M-1771,"Canavan, Dennis",-1
S1M-1797.2,"Canavan, Dennis",-1
S1M-1797.1,"Canavan, Dennis",-1
S1M-1797,"Canavan, Dennis",1
S1M-1794.1,"Canavan, Dennis",-1
S1M-1794,"Canavan, Dennis",-1
S1M-1780,"Canavan, Dennis",0
S1M-1807.1,"Canavan, Dennis",1
S1M-1807.2,"Canavan, Dennis",-1
S1M-1807,"Canavan, Dennis",0
S1M-1795,"Canavan, Dennis",-1
S1M-1825.1,"Canavan, Dennis",1
S1M-1825,"Canavan, Dennis",1
S1M-1857.1,"Canavan, Dennis",1
S1M-1857.2,"Canavan, Dennis",1
S1M-1857,"Canavan, Dennis",0
S1M-1865.1,"Canavan, Dennis",-1
S1M-1866.1,"Canavan, Dennis",-1
S1M-1866,"Canavan, Dennis",1
S1M-1868.1,"Canavan, Dennis",1
S1M-1868.2,"Canavan, Dennis",1
S1M-1868,"Canavan, Dennis",1
S1M-1890.1,"Canavan, Dennis",-1
S1M-1890.2,"Canavan, Dennis",-1
S1M-1890,"Canavan, Dennis",1
S1M-1884,"Canavan, Dennis",-1
S1M-1896.1,"Canavan, Dennis",1
S1M-1896.3,"Canavan, Dennis",1
S1M-1912.1,"Canavan, Dennis",1
S1M-1912.2,"Canavan, Dennis",-1
S1M-1912,"Canavan, Dennis",1
S1M-1914.2,"Canavan, Dennis",-1
S1M-1914,"Canavan, Dennis",1
S1M-1918.2,"Canavan, Dennis",1
S1M-1918.1,"Canavan, Dennis",-1
S1M-1918,"Canavan, Dennis",-1
S1M-1922.3,"Canavan, Dennis",1
S1M-1922.2,"Canavan, Dennis",1
S1M-1922,"Canavan, Dennis",-1
S1M-1843.1,"Canavan, Dennis",-1
S1M-1843,"Canavan, Dennis",1
S1M-1958.1,"Canavan, Dennis",0
S1M-1958,"Canavan, Dennis",0
S1M-1957.1,"Canavan, Dennis",0
S1M-1957,"Canavan, Dennis",0
S1M-1941,"Canavan, Dennis",1
S1M-2000,"Canavan, Dennis",0
S1M-2030.2,"Canavan, Dennis",-1
S1M-2030.1,"Canavan, Dennis",-1
S1M-2030,"Canavan, Dennis",-1
S1M-2023.2,"Canavan, Dennis",-1
S1M-2023,"Canavan, Dennis",-1
S1M-2012.3,"Canavan, Dennis",1
S1M-2012.1,"Canavan, Dennis",-1
S1M-2012,"Canavan, Dennis",-1
S1M-2028,"Canavan, Dennis",-1
S1M-2041.1,"Canavan, Dennis",-1
S1M-2043.1,"Canavan, Dennis",1
S1M-2043.2,"Canavan, Dennis",1
S1M-2043,"Canavan, Dennis",1
S1M-2172,"Canavan, Dennis",-1
S1M-2162,"Canavan, Dennis",-1
S1M-2163.1,"Canavan, Dennis",1
S1M-2163,"Canavan, Dennis",-1
S1M-2164,"Canavan, Dennis",-1
S1M-2202,"Canavan, Dennis",1
S1M-2206.1,"Canavan, Dennis",-1
S1M-2206,"Canavan, Dennis",1
S1M-2078.2,"Canavan, Dennis",-1
S1M-2078.1,"Canavan, Dennis",-1
S1M-2078,"Canavan, Dennis",1
S1M-2205.2,"Canavan, Dennis",1
S1M-2205,"Canavan, Dennis",1
S1M-2207.2,"Canavan, Dennis",1
S1M-2207.1,"Canavan, Dennis",1
S1M-2207,"Canavan, Dennis",1
S1M-2245.1,"Canavan, Dennis",1
S1M-2245.2,"Canavan, Dennis",-1
S1M-2245,"Canavan, Dennis",1
S1M-2248.1.1,"Canavan, Dennis",1
S1M-2248.1,"Canavan, Dennis",-1
S1M-2248,"Canavan, Dennis",1
S1M-2278.1,"Canavan, Dennis",-1
S1M-2278.2,"Canavan, Dennis",1
S1M-2278,"Canavan, Dennis",1
S1M-2285.1,"Canavan, Dennis",1
S1M-2285,"Canavan, Dennis",1
S1M-2340.1,"Canavan, Dennis",1
S1M-2340,"Canavan, Dennis",0
S1M-2344.1,"Canavan, Dennis",-1
S1M-2344,"Canavan, Dennis",1
S1M-2347.3,"Canavan, Dennis",-1
S1M-2347.2,"Canavan, Dennis",-1
S1M-2347.1,"Canavan, Dennis",1
S1M-2347,"Canavan, Dennis",-1
S1M-2354.1,"Canavan, Dennis",1
S1M-2354.2,"Canavan, Dennis",-1
S1M-2354,"Canavan, Dennis",1
S1M-2377.2,"Canavan, Dennis",1
S1M-2377.1,"Canavan, Dennis",-1
S1M-2406.2,"Canavan, Dennis",1
S1M-2445.1,"Canavan, Dennis",0
S1M-2445,"Canavan, Dennis",0
S1M-2444.2,"Canavan, Dennis",0
S1M-2444.3,"Canavan, Dennis",0
S1M-2444,"Canavan, Dennis",0
S1M-2307,"Canavan, Dennis",-1
S1M-2488.5,"Canavan, Dennis",0
S1M-2488.6,"Canavan, Dennis",0
S1M-2488.2,"Canavan, Dennis",0
S1M-2488.3,"Canavan, Dennis",0
S1M-2488.1,"Canavan, Dennis",0
S1M-2488.4,"Canavan, Dennis",0
S1M-2488,"Canavan, Dennis",0
S1M-2491.1,"Canavan, Dennis",0
S1M-2491,"Canavan, Dennis",0
S1M-2489,"Canavan, Dennis",-1
S1M-2247.1,"Canavan, Dennis",1
S1M-2487.1,"Canavan, Dennis",-1
S1M-2487,"Canavan, Dennis",-1
S1M-2486.1,"Canavan, Dennis",-1
S1M-2486,"Canavan, Dennis",-1
S1M-2492.3,"Canavan, Dennis",1
S1M-2492.1,"Canavan, Dennis",1
S1M-2492,"Canavan, Dennis",1
S1M-2276,"Canavan, Dennis",-1
S1M-2520.2,"Canavan, Dennis",1
S1M-2520.1,"Canavan, Dennis",-1
S1M-2538.1,"Canavan, Dennis",1
S1M-2538.3,"Canavan, Dennis",-1
S1M-2538,"Canavan, Dennis",1
S1M-2541.1,"Canavan, Dennis",1
S1M-2541,"Canavan, Dennis",1
S1M-2545.2,"Canavan, Dennis",-1
S1M-2545,"Canavan, Dennis",-1
S1M-2546.1,"Canavan, Dennis",1
S1M-2546.2,"Canavan, Dennis",1
S1M-2555,"Canavan, Dennis",0
S1M-2524.1,"Canavan, Dennis",1
S1M-2524,"Canavan, Dennis",-1
S1M-2578.2,"Canavan, Dennis",0
S1M-2578.1,"Canavan, Dennis",0
S1M-2578,"Canavan, Dennis",1
S1M-2589,"Canavan, Dennis",-1
S1M-2582.2,"Canavan, Dennis",0
S1M-2582,"Canavan, Dennis",-1
S1M-2577.1,"Canavan, Dennis",-1
S1M-2577,"Canavan, Dennis",-1
S1M-2606.2,"Canavan, Dennis",-1
S1M-2606,"Canavan, Dennis",1
S1M-2274,"Canavan, Dennis",1
S1M-2631.2,"Canavan, Dennis",-1
S1M-2631,"Canavan, Dennis",1
S1M-2632.1,"Canavan, Dennis",-1
S1M-2632,"Canavan, Dennis",0
S1M-2633.1,"Canavan, Dennis",-1
S1M-2633,"Canavan, Dennis",-1
S1M-2635.3,"Canavan, Dennis",-1
S1M-2635,"Canavan, Dennis",-1
S1M-2630.1,"Canavan, Dennis",-1
S1M-2630,"Canavan, Dennis",1
S1M-2353,"Canavan, Dennis",1
S1M-2649,"Canavan, Dennis",1
S1M-2650,"Canavan, Dennis",-1
S1M-2656,"Canavan, Dennis",-1
S1M-2654,"Canavan, Dennis",0
S1M-2703.1,"Canavan, Dennis",-1
S1M-2703.2,"Canavan, Dennis",-1
S1M-2703,"Canavan, Dennis",1
S1M-2697.2,"Canavan, Dennis",-1
S1M-2697,"Canavan, Dennis",1
S1M-2619,"Canavan, Dennis",1
S1M-2742.1,"Canavan, Dennis",-1
S1M-2742,"Canavan, Dennis",1
S1M-2726.1,"Canavan, Dennis",-1
S1M-2726,"Canavan, Dennis",1
S1M-2675,"Canavan, Dennis",-1
S1M-S1M-2674,"Canavan, Dennis",1
S1M-2830,"Canavan, Dennis",0
S1M-2833.2,"Canavan, Dennis",1
S1M-2833.1,"Canavan, Dennis",1
S1M-2833,"Canavan, Dennis",1
S1M-2839.1,"Canavan, Dennis",-1
S1M-2839,"Canavan, Dennis",1
S1M-2838.2,"Canavan, Dennis",1
S1M-2838.1,"Canavan, Dennis",-1
S1M-2838,"Canavan, Dennis",1
S1M-2883.2,"Canavan, Dennis",1
S1M-2883.1,"Canavan, Dennis",-1
S1M-2882.2,"Canavan, Dennis",-1
S1M-2882,"Canavan, Dennis",1
S1M-2506,"Canavan, Dennis",1
S1M-2919.1,"Canavan, Dennis",1
S1M-2919.2,"Canavan, Dennis",-1
S1M-2919,"Canavan, Dennis",-1
S1M-2928,"Canavan, Dennis",-1
S1M-2941.2,"Canavan, Dennis",1
S1M-2941.1,"Canavan, Dennis",-1
S1M-2941,"Canavan, Dennis",-1
S1M-2940.1,"Canavan, Dennis",-1
S1M-2940,"Canavan, Dennis",1
S1M-2945.2,"Canavan, Dennis",0
S1M-2945,"Canavan, Dennis",0
S1M-2946.2,"Canavan, Dennis",-1
S1M-2946,"Canavan, Dennis",-1
S1M-2982.1,"Canavan, Dennis",1
S1M-2982.2,"Canavan, Dennis",-1
S1M-2983,"Canavan, Dennis",-1
S1M-2993.2,"Canavan, Dennis",1
S1M-2993.1,"Canavan, Dennis",0
S1M-2993,"Canavan, Dennis",-1
S1M-2994.1,"Canavan, Dennis",1
S1M-2994.2,"Canavan, Dennis",1
S1M-2994,"Canavan, Dennis",0
S1M-2855,"Canavan, Dennis",1
S1M-3022.2,"Canavan, Dennis",1
S1M-3022.3,"Canavan, Dennis",-1
S1M-3022.1,"Canavan, Dennis",1
S1M-3021.2,"Canavan, Dennis",1
S1M-3021.1,"Canavan, Dennis",-1
S1M-3021,"Canavan, Dennis",0
S1M-3048.1,"Canavan, Dennis",1
S1M-3048.2,"Canavan, Dennis",-1
S1M-3052.1,"Canavan, Dennis",0
S1M-3052,"Canavan, Dennis",0
S1M-3069,"Canavan, Dennis",1
S1M-3070,"Canavan, Dennis",1
S1M-3067.1,"Canavan, Dennis",1
S1M-3067.2,"Canavan, Dennis",0
S1M-3067,"Canavan, Dennis",1
S1M-3078.1,"Canavan, Dennis",1
S1M-3078.2,"Canavan, Dennis",1
S1M-3098.1,"Canavan, Dennis",0
S1M-3106.1,"Canavan, Dennis",1
S1M-3106.3,"Canavan, Dennis",-1
S1M-3106,"Canavan, Dennis",-1
S1M-3103.1,"Canavan, Dennis",1
S1M-3103,"Canavan, Dennis",-1
S1M-3105.1,"Canavan, Dennis",1
S1M-3105.3,"Canavan, Dennis",1
S1M-3105,"Canavan, Dennis",1
S1M-3150.1,"Canavan, Dennis",0
S1M-3150,"Canavan, Dennis",0
S1M-3149.2,"Canavan, Dennis",0
S1M-3149.1,"Canavan, Dennis",0
S1M-3149,"Canavan, Dennis",0
S1M-3155.1.1,"Canavan, Dennis",-1
S1M-3155.1,"Canavan, Dennis",-1
S1M-3155.3,"Canavan, Dennis",-1
S1M-3155,"Canavan, Dennis",-1
S1M-3162.1,"Canavan, Dennis",1
S1M-3154.3,"Canavan, Dennis",-1
S1M-3154,"Canavan, Dennis",1
S1M-3153.2,"Canavan, Dennis",-1
S1M-3153,"Canavan, Dennis",-1
S1M-3165,"Canavan, Dennis",-1
S1M-3160.1,"Canavan, Dennis",1
S1M-3192.1,"Canavan, Dennis",1
S1M-3192.2,"Canavan, Dennis",-1
S1M-3194.2,"Canavan, Dennis",1
S1M-3194,"Canavan, Dennis",1
S1M-3204.2,"Canavan, Dennis",1
S1M-3204.1,"Canavan, Dennis",1
S1M-3204,"Canavan, Dennis",1
S1M-3197.1,"Canavan, Dennis",1
S1M-3197.2,"Canavan, Dennis",-1
S1M-3197,"Canavan, Dennis",1
S1M-3211,"Canavan, Dennis",0
S1M-3229.3,"Canavan, Dennis",-1
S1M-3229,"Canavan, Dennis",-1
S1M-3228.2,"Canavan, Dennis",-1
S1M-3228,"Canavan, Dennis",-1
S1M-3223,"Canavan, Dennis",1
S1M-3248.1,"Canavan, Dennis",1
S1M-3248.2,"Canavan, Dennis",-1
S1M-3248,"Canavan, Dennis",-1
S1M-3244,"Canavan, Dennis",-1
S1M-3245,"Canavan, Dennis",0
S1M-3256.1,"Canavan, Dennis",1
S1M-3256.2,"Canavan, Dennis",-1
S1M-3256,"Canavan, Dennis",-1
S1M-3338.1,"Canavan, Dennis",1
S1M-3338.2,"Canavan, Dennis",1
S1M-3338,"Canavan, Dennis",0
S1M-3350.2,"Canavan, Dennis",1
S1M-3350.1,"Canavan, Dennis",-1
S1M-3350,"Canavan, Dennis",0
S1M-3351.2,"Canavan, Dennis",0
S1M-3351.1,"Canavan, Dennis",1
S1M-3368.1,"Canavan, Dennis",0
S1M-3376.2,"Canavan, Dennis",-1
S1M-3376,"Canavan, Dennis",-1
S1M-3375.1,"Canavan, Dennis",-1
S1M-3375,"Canavan, Dennis",-1
S1M-3382.1,"Canavan, Dennis",1
S1M-3382.2,"Canavan, Dennis",-1
S1M-3382,"Canavan, Dennis",-1
S1M-3379,"Canavan, Dennis",-1
S1M-2952,"Canavan, Dennis",0
S1M-3085,"Canavan, Dennis",-1
S1M-3401.1,"Canavan, Dennis",-1
S1M-3322,"Canavan, Dennis",1
S1M-3418.2,"Canavan, Dennis",-1
S1M-3418.1,"Canavan, Dennis",1
S1M-3418,"Canavan, Dennis",-1
S1M-3422.2,"Canavan, Dennis",1
S1M-3422.1,"Canavan, Dennis",1
S1M-3422,"Canavan, Dennis",1
S1M-3423.2,"Canavan, Dennis",1
S1M-3128,"Canavan, Dennis",1
S1M-3386,"Canavan, Dennis",1
